
2025/03/18 (01:58:57) | ===> btop++ v.1.4.0
2025/03/18 (01:58:57) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/25 (00:13:58) | ===> btop++ v.1.4.0
2025/03/25 (00:13:58) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/25 (00:14:01) | ===> btop++ v.1.4.0
2025/03/25 (00:14:01) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/26 (01:03:13) | ===> btop++ v.1.4.0
2025/03/26 (01:03:13) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/26 (01:03:18) | ===> btop++ v.1.4.0
2025/03/26 (01:03:18) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/26 (01:03:22) | ===> btop++ v.1.4.0
2025/03/26 (01:03:22) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/29 (22:28:02) | ===> btop++ v.1.4.0
2025/03/29 (22:28:02) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/07 (22:08:55) | ===> btop++ v.1.4.0
2025/04/07 (22:08:55) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/08 (00:41:29) | ===> btop++ v.1.4.0
2025/04/08 (00:41:29) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/08 (19:45:27) | ===> btop++ v.1.4.0
2025/04/08 (19:45:27) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/08 (19:50:03) | ===> btop++ v.1.4.0
2025/04/08 (19:50:03) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/15 (00:13:57) | ===> btop++ v.1.4.0
2025/04/15 (00:13:57) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/15 (00:14:47) | ===> btop++ v.1.4.0
2025/04/15 (00:14:47) | WARNING: Intel GPU: Failed to initialize PMU
